time,signal1,signal2
0,0.31479,0.2071
0.002,0.28835,0.21075
0.004,0.26022,0.21677
0.006,0.23067,0.22493
0.008,0.20009,0.2349
0.01,0.16896,0.24632
0.012,0.13783,0.25878
0.014,0.1072,0.27188
0.016,0.0776,0.28523
0.018,0.04956,0.29845
0.02,0.02361,0.31121
0.022,2.40E-04,0.32321
0.024,-0.0201,0.33418
0.026,-0.03709,0.34396
0.028,-0.05046,0.3524
0.03,-0.06,0.35946
0.032,-0.06555,0.36509
0.034,-0.06704,0.36931
0.036,-0.0645,0.37213
0.038,-0.05808,0.37361
0.04,-0.04805,0.37383
0.042,-0.03475,0.37287
0.044,-0.01863,0.37081
0.046,-2.10E-04,0.3677
0.048,0.01993,0.36362
0.05,0.04111,0.35861
0.052,0.06264,0.35273
0.054,0.08388,0.34602
0.056,0.10421,0.3385
0.058,0.12307,0.33018
0.06,0.13997,0.32103
0.062,0.15449,0.31105
0.064,0.16632,0.30021
0.066,0.17522,0.28852
0.068,0.18111,0.27595
0.07,0.18396,0.2625
0.072,0.18382,0.24818
0.074,0.18083,0.23303
0.076,1.75E-01,0.2171
0.078,0.16706,0.20047
0.08,0.15684,0.18321
0.082,0.14482,0.16543
0.084,0.13133,0.14721
0.086,0.11669,0.12864
0.088,0.1012,0.10986
0.09,0.08517,0.09096
0.092,0.06886,0.07205
0.094,0.05249,0.05326
0.096,0.03625,0.03467
0.098,0.02024,0.01638
0.1,4.55E-03,-0.00151
0.102,-0.01077,-0.01893
0.104,-0.02568,-0.03582
0.106,-0.04017,-0.05214
0.108,-0.05424,-0.06788
0.11,-0.06791,-0.08305
0.112,-0.08119,-0.09767
0.114,-0.09407,-0.11182
0.116,-0.10655,-0.12558
0.118,-0.11861,-0.13909
0.12,-0.13023,-0.15251
0.122,-0.14141,-0.16602
0.124,-0.15214,-0.17984
0.126,-0.16242,-0.19416
0.128,-0.1722,-0.20917
0.13,-0.18146,-0.22498
0.132,-0.19014,-0.24165
0.134,-0.19818,-0.25909
0.136,-0.20549,-0.27707
0.138,-0.2119,-0.29522
0.14,-0.21719,-0.31297
0.142,-0.22106,-0.32957
0.144,-0.22312,-0.3441
0.146,-0.22286,-0.35546
0.148,-0.21965,-0.3624
0.15,-0.21268,-0.36351
0.152,-0.20091,-0.35728
0.154,-0.18311,-0.34202
0.156,-0.15778,-0.3159
0.158,-0.12317,-0.27692
0.16,-0.07723,-0.2229
0.162,-0.0176,-0.15145
0.164,0.05839,-0.05992
0.166,0.15375,0.0546
0.168,0.27182,0.19531
0.17,0.41623,0.36571
0.172,0.59093,0.56957
0.174,0.8002,0.81095
0.176,1.04861,1.09418
0.178,1.34106,1.42393
0.18,1.68272,1.80516
0.182,2.07909,2.24311
0.184,2.53603,2.74329
0.186,3.05975,3.31143
0.188,3.65684,3.9535
0.19,4.33421,4.67562
0.192,5.09901,5.48399
0.194,5.95857,6.38477
0.196,6.92026,7.38395
0.198,7.99134,8.48718
0.2,9.17875,9.69966
0.202,10.48883,11.02597
0.204,11.9271,12.46989
0.206,13.49801,14.03413
0.208,15.2047,15.72015
0.21,17.04874,17.5279
0.212,19.0298,19.45559
0.214,21.14517,21.49957
0.216,23.38942,23.65409
0.218,25.75397,25.91112
0.22,28.22684,28.26017
0.222,30.79239,30.68812
0.224,33.43121,33.179
0.226,36.11987,35.71387
0.228,38.83094,38.27063
0.23,41.53306,40.824
0.232,44.19119,43.34561
0.234,46.76697,45.80417
0.236,49.21926,48.16578
0.238,51.50459,50.39447
0.24,53.57798,52.45283
0.242,55.39385,54.30288
0.244,56.9074,55.90702
0.246,58.07647,57.229
0.248,58.8633,58.23471
0.25,59.23649,58.89322
0.252,59.1726,59.17778
0.254,58.65738,59.06701
0.256,57.6871,58.54642
0.258,56.2698,57.6098
0.26,54.42614,56.26041
0.262,52.19002,54.51195
0.264,49.60874,52.38912
0.266,46.74246,49.92804
0.268,43.66346,47.17644
0.27,40.45477,44.19313
0.272,37.20819,41.0465
0.274,34.02186,37.81262
0.276,30.99652,34.57283
0.278,28.23067,31.4114
0.28,25.81546,28.4136
0.282,23.82975,25.6632
0.284,22.3368,23.23953
0.286,21.38348,21.21444
0.288,20.99929,19.64884
0.29,21.19568,18.58986
0.292,21.96611,18.06883
0.294,23.28582,18.10035
0.296,25.11336,18.68315
0.298,27.39373,19.80114
0.3,30.06089,21.42492
0.302,33.04013,23.51316
0.304,36.25078,26.01298
0.306,39.60866,28.86115
0.308,43.02849,31.98577
0.31,46.42643,35.30783
0.312,49.72162,38.7443
0.314,52.83676,42.21124
0.316,55.69897,45.62652
0.318,58.24209,48.91276
0.32,60.40947,51.99905
0.322,62.15753,54.82202
0.324,63.45889,57.32689
0.326,64.30248,59.46838
0.328,64.69222,61.21159
0.33,64.64599,62.53314
0.332,64.19376,63.42201
0.334,63.37603,63.88012
0.336,62.24212,63.92173
0.338,60.84646,63.57176
0.34,59.2446,62.86329
0.342,57.4906,61.83457
0.344,55.63451,60.52643
0.346,53.72028,58.98083
0.348,51.78423,57.23929
0.35,49.85337,55.34209
0.352,47.94478,53.3277
0.354,46.06714,51.2314
0.356,44.22368,49.08428
0.358,42.41528,46.91236
0.36,40.6424,44.73571
0.362,38.906,42.56902
0.364,37.20665,40.42259
0.366,35.54358,38.30351
0.368,33.9156,36.2173
0.37,32.3215,34.16897
0.372,30.76008,32.16357
0.374,29.23065,30.20618
0.376,27.73202,28.30093
0.378,26.26205,26.45078
0.38,24.8189,24.65731
0.382,23.40147,22.92117
0.384,22.00922,21.2432
0.386,20.64219,19.62444
0.388,19.30073,18.06602
0.39,17.98538,16.56921
0.392,16.69779,15.13483
0.394,15.44096,13.76322
0.396,14.21877,12.4545
0.398,13.03532,11.20848
0.4,11.89458,10.02498
0.402,10.80009,8.90419
0.404,9.75505,7.84692
0.406,8.7625,6.855
0.408,7.82504,5.9315
0.41,6.94478,5.08077
0.412,6.12356,4.30819
0.414,5.36332,3.61956
0.416,4.66637,3.02039
0.418,4.03558,2.51572
0.42,3.47408,2.10997
0.422,2.98486,1.80732
0.424,2.57075,1.61229
0.426,2.23465,1.52962
0.428,1.97982,1.56418
0.43,1.81038,1.72076
0.432,1.73123,2.0036
0.434,1.74788,2.4164
0.436,1.86626,2.96245
0.438,2.09242,3.64455
0.44,2.43235,4.46511
0.442,2.89191,5.42601
0.444,3.47653,6.52829
0.446,4.19105,7.772
0.448,5.03951,9.15614
0.45,6.02492,10.67859
0.452,7.14935,12.3362
0.454,8.41403,14.12475
0.456,9.81934,16.03885
0.458,11.36494,18.07189
0.46,13.0496,20.21605
0.462,14.871,22.46235
0.464,16.82562,24.80057
0.466,18.9087,27.21917
0.468,21.11399,29.705
0.47,23.43356,32.24308
0.472,25.85755,34.8165
0.474,28.37373,37.4064
0.476,30.96729,39.99194
0.478,33.62083,42.5503
0.48,36.31427,45.05665
0.482,39.02489,47.48415
0.484,41.72734,49.80419
0.486,44.3935,51.98664
0.488,46.99254,54.00022
0.49,49.49107,55.81277
0.492,51.85343,57.39165
0.494,54.04213,58.70426
0.496,56.0183,59.7189
0.498,57.74215,60.40574
0.5,59.17393,60.73783
0.502,60.27552,60.69235
0.504,61.01212,60.2521
0.506,61.35413,59.40722
0.508,61.27888,58.15686
0.51,60.77213,56.51024
0.512,59.82952,54.48655
0.514,58.45827,52.11451
0.516,56.6775,49.43171
0.518,54.51733,46.4835
0.52,52.01721,43.32198
0.522,49.22372,40.00441
0.524,46.18855,36.59078
0.526,42.96769,33.14184
0.528,39.62002,29.71738
0.53,36.20524,26.37463
0.532,32.78221,23.16694
0.534,29.4069,20.14232
0.536,26.13097,17.34147
0.538,23.00149,14.79633
0.54,20.06038,12.52924
0.542,17.34352,10.55297
0.544,14.87986,8.87154
0.546,12.69069,7.48104
0.548,10.7891,6.37001
0.55,9.18001,5.51972
0.552,7.86016,4.90484
0.554,6.8174,4.49498
0.556,6.03026,4.25673
0.558,5.46915,4.15511
0.56,5.09856,4.15453
0.562,4.88021,4.21944
0.564,4.77617,4.31521
0.566,4.74997,4.40992
0.568,4.76697,4.47632
0.57,4.79543,4.49304
0.572,4.80777,4.44498
0.574,4.78253,4.32317
0.576,4.70592,4.12411
0.578,4.57159,3.84987
0.58,4.37958,3.50818
0.582,4.13473,3.11171
0.584,3.84541,2.67667
0.586,3.52244,2.22085
0.588,3.17778,1.76157
0.59,2.82328,1.31477
0.592,2.4693,0.8948
0.594,2.12414,0.51403
0.596,1.79495,0.18196
0.598,1.48863,-0.09566
0.6,1.21182,-0.31738
0.602,0.9703,-0.4855
0.604,0.76744,-0.60474
0.606,0.60309,-0.68124
0.608,0.47468,-0.72224
0.61,0.37842,-0.73592
0.612,0.31011,-0.73111
0.614,0.26573,-0.7164
0.616,0.24073,-0.69875
0.618,0.22973,-0.68269
0.62,0.22712,-0.67027
0.622,0.22775,-0.66182
0.624,0.22762,-0.65702
0.626,0.22415,-0.65541
0.628,0.2161,-0.65639
0.63,0.20328,-0.65911
0.632,0.18647,-0.66233
0.634,0.16726,-0.66503
0.636,0.14757,-0.66681
0.638,0.12907,-0.66747
0.64,0.11275,-0.66648
0.642,0.09866,-0.66245
0.644,0.08651,-0.65306
0.646,0.07642,-0.6359
0.648,0.06911,-0.60948
0.65,0.06587,-0.57334
0.652,0.06794,-0.52785
0.654,0.07571,-0.47392
0.656,0.08877,-0.41243
0.658,0.1062,-0.34445
0.66,0.12674,-0.27153
0.662,0.14922,-0.19539
0.664,0.17239,-0.11782
0.666,0.19471,-0.04035
0.668,0.21457,0.03602
0.67,0.23044,0.11057
0.672,0.24108,0.18254
0.674,0.24583,0.25109
0.676,0.24439,0.31533
0.678,0.23661,0.37447
0.68,0.22247,0.42811
0.682,0.20204,0.47615
0.684,0.17567,0.51857
0.686,0.14414,0.55547
0.688,0.10855,0.58693
0.69,0.07015,0.61312
0.692,0.03022,0.63435
0.694,-0.00999,0.65098
0.696,-0.0493,0.66328
0.698,-0.0865,0.67137
0.7,-0.12056,0.67522
0.702,-0.15067,0.67476
0.704,-0.17636,0.67001
0.706,-0.19749,0.6611
0.708,-0.21412,0.64821
0.71,-0.22635,0.63154
0.712,-0.23431,0.61128
0.714,-0.23815,0.58764
0.716,-0.23808,0.56091
0.718,-0.2344,0.53146
0.72,-0.2274,0.49966
0.722,-0.21731,0.46588
0.724,-0.20435,0.43045
0.726,-0.18873,0.39375
0.728,-0.17073,0.35626
0.73,-0.15072,0.31851
0.732,-0.12906,0.28112
0.734,-0.10603,0.24465
0.736,-0.08186,0.20962
0.738,-0.05677,0.17651
0.74,-0.03097,0.14575
0.742,-0.00472,0.11768
0.744,0.02167,0.09257
0.746,0.04793,0.07058
0.748,0.07373,0.05174
0.75,0.09868,0.03605
0.752,0.12233,0.02351
0.754,0.14415,0.01408
0.756,0.16358,0.00776
0.758,0.18012,0.00452
0.76,0.19334,0.00432
0.762,0.20287,0.00709
0.764,0.20843,0.0128
0.766,0.20982,0.02137
0.768,0.20693,0.0327
0.77,0.1998,0.04661
0.772,0.18856,0.06291
0.774,0.17345,0.08133
0.776,0.15478,0.1016
0.778,0.13291,0.12345
0.78,0.10826,0.14656
0.782,0.08133,0.1706
0.784,0.05266,0.19522
0.786,0.02285,0.22008
0.788,-0.0075,0.24485
0.79,-0.03779,0.2692
0.792,-0.06744,0.29281
0.794,-0.09591,0.31537
0.796,-0.12268,0.33656
0.798,-0.1473,0.35612
0.8,-0.16941,0.37379
